(0, 265)
(0, 284)
(1, 61)
(1, 179)
(1, 339)
(4, 18)
(4, 48)
(5, 149)
(5, 156)
(6, 144)
(6, 395)
(6, 454)
(7, 105)
(7, 138)
(7, 297)
(8, 23)
(8, 275)
(8, 383)
(8, 434)
(8, 491)
(11, 226)
(12, 25)
(12, 31)
(12, 411)
(13, 86)
(13, 133)
(15, 34)
(17, 87)
(17, 192)
(17, 199)
(17, 304)
(18, 4)
(18, 48)
(20, 171)
(20, 215)
(20, 282)
(20, 328)
(20, 370)
(20, 440)
(21, 30)
(21, 203)
(22, 426)
(23, 8)
(23, 275)
(23, 383)
(23, 434)
(23, 491)
(24, 235)
(24, 499)
(25, 12)
(25, 31)
(25, 411)
(27, 98)
(27, 382)
(27, 427)
(28, 401)
(30, 21)
(30, 203)
(31, 12)
(31, 25)
(31, 411)
(32, 66)
(32, 181)
(32, 300)
(32, 322)
(32, 473)
(34, 15)
(37, 338)
(38, 67)
(38, 135)
(38, 161)
(38, 210)
(38, 356)
(38, 419)
(38, 457)
(38, 487)
(40, 116)
(40, 163)
(40, 415)
(41, 103)
(41, 233)
(41, 466)
(41, 488)
(44, 307)
(44, 348)
(45, 247)
(45, 269)
(45, 303)
(45, 350)
(46, 204)
(46, 246)
(48, 4)
(48, 18)
(49, 64)
(49, 69)
(49, 160)
(49, 165)
(49, 209)
(49, 388)
(51, 132)
(52, 489)
(53, 187)
(53, 237)
(55, 108)
(55, 229)
(55, 416)
(55, 468)
(55, 497)
(58, 79)
(58, 189)
(58, 347)
(58, 423)
(61, 1)
(61, 179)
(61, 339)
(63, 236)
(64, 49)
(64, 69)
(64, 160)
(64, 165)
(64, 209)
(64, 388)
(65, 360)
(65, 412)
(66, 32)
(66, 181)
(66, 300)
(66, 322)
(66, 473)
(67, 38)
(67, 135)
(67, 161)
(67, 210)
(67, 356)
(67, 419)
(67, 457)
(67, 487)
(68, 330)
(69, 49)
(69, 64)
(69, 160)
(69, 165)
(69, 209)
(69, 388)
(70, 111)
(70, 367)
(70, 408)
(70, 467)
(71, 97)
(71, 273)
(71, 451)
(72, 493)
(76, 127)
(76, 310)
(76, 413)
(76, 421)
(77, 314)
(77, 418)
(78, 386)
(78, 445)
(78, 472)
(78, 476)
(78, 496)
(79, 58)
(79, 189)
(79, 347)
(79, 423)
(81, 251)
(81, 306)
(82, 143)
(82, 267)
(82, 490)
(83, 276)
(85, 258)
(85, 298)
(85, 327)
(85, 424)
(86, 13)
(86, 133)
(87, 17)
(87, 192)
(87, 199)
(87, 304)
(91, 240)
(91, 332)
(91, 355)
(92, 312)
(92, 392)
(97, 71)
(97, 273)
(97, 451)
(98, 27)
(98, 382)
(98, 427)
(100, 259)
(100, 447)
(103, 41)
(103, 233)
(103, 466)
(103, 488)
(105, 7)
(105, 138)
(105, 297)
(108, 55)
(108, 229)
(108, 416)
(108, 468)
(108, 497)
(111, 70)
(111, 367)
(111, 408)
(111, 467)
(113, 393)
(114, 287)
(114, 320)
(115, 365)
(116, 40)
(116, 163)
(116, 415)
(117, 429)
(119, 196)
(119, 253)
(119, 430)
(119, 480)
(121, 217)
(121, 261)
(121, 389)
(122, 188)
(122, 326)
(123, 134)
(123, 242)
(123, 331)
(123, 358)
(124, 294)
(125, 442)
(125, 455)
(126, 381)
(127, 76)
(127, 310)
(127, 413)
(127, 421)
(128, 498)
(129, 162)
(129, 177)
(129, 336)
(129, 368)
(129, 450)
(130, 216)
(132, 51)
(133, 13)
(133, 86)
(134, 123)
(134, 242)
(134, 331)
(134, 358)
(135, 38)
(135, 67)
(135, 161)
(135, 210)
(135, 356)
(135, 419)
(135, 457)
(135, 487)
(136, 397)
(138, 7)
(138, 105)
(138, 297)
(140, 173)
(143, 82)
(143, 267)
(143, 490)
(144, 6)
(144, 395)
(144, 454)
(147, 205)
(147, 281)
(147, 341)
(149, 5)
(149, 156)
(150, 152)
(150, 184)
(151, 168)
(151, 212)
(151, 357)
(151, 494)
(152, 150)
(152, 184)
(156, 5)
(156, 149)
(158, 387)
(159, 202)
(159, 283)
(159, 371)
(160, 49)
(160, 64)
(160, 69)
(160, 165)
(160, 209)
(160, 388)
(161, 38)
(161, 67)
(161, 135)
(161, 210)
(161, 356)
(161, 419)
(161, 457)
(161, 487)
(162, 129)
(162, 177)
(162, 336)
(162, 368)
(162, 450)
(163, 40)
(163, 116)
(163, 415)
(164, 206)
(164, 288)
(165, 49)
(165, 64)
(165, 69)
(165, 160)
(165, 209)
(165, 388)
(166, 174)
(168, 151)
(168, 212)
(168, 357)
(168, 494)
(170, 200)
(171, 20)
(171, 215)
(171, 282)
(171, 328)
(171, 370)
(171, 440)
(172, 256)
(172, 315)
(172, 449)
(173, 140)
(174, 166)
(176, 483)
(177, 129)
(177, 162)
(177, 336)
(177, 368)
(177, 450)
(178, 213)
